colour_code,colour_name,product_line,set_size_ct,included
190,Venetian red,Polychromos colour pencils,24,1
190,Venetian red,Polychromos colour pencils,36,1
190,Venetian red,Polychromos colour pencils,60,1
190,Venetian red,Polychromos colour pencils,72,1
190,Venetian red,Polychromos Pastels,60,1
190,Venetian red,Albrecht Durer watercolour pencils,24,1
190,Venetian red,Albrecht Durer watercolour pencils,36,1
190,Venetian red,Albrecht Durer watercolour pencils,60,1
190,Venetian red,Albrecht Durer watercolour pencils,72,1
190,Venetian red,Albrecht Durer Magnus,24,1
190,Venetian red,Albrecht Durer Magnus,30,1
190,Venetian red,Pitt Pastel pencils,60,1
191,Pompeian red,Polychromos colour pencils,36,1
191,Pompeian red,Polychromos colour pencils,60,1
191,Pompeian red,Polychromos colour pencils,72,1
191,Pompeian red,Albrecht Durer watercolour pencils,36,1
191,Pompeian red,Albrecht Durer watercolour pencils,60,1
191,Pompeian red,Albrecht Durer watercolour pencils,72,1
191,Pompeian red,Pitt Pastel pencils,60,1
192,India red,Polychromos Pastels,36,1
192,India red,Polychromos Pastels,60,1
192,India red,Pitt Pastel pencils,36,1
